Card	Format	Usage	Cumulative	Total	Format Index
Fissure	yugi-kaiba	132	132	429	0
Fissure	critter	85	217	429	1
Fissure	treasure	33	250	429	2
Fissure	imperial	34	284	429	3
Fissure	android	60	344	429	4
Fissure	joey-pegasus	8	352	429	5
Fissure	fiber	14	366	429	6
Fissure	yata	8	374	429	7
Fissure	chimeratech	4	378	429	17
Fissure	zombie	7	385	429	21
Fissure	perfect circle	1	386	429	22
Fissure	dad return	1	387	429	24
Fissure	gladiator	1	388	429	25
Fissure	cat	1	389	429	27
Fissure	lightsworn	4	393	429	28
Fissure	edison	1	394	429	29
Fissure	frog	25	419	429	30
Fissure	x-saber	5	424	429	31
Fissure	starstrike	1	425	429	32
Fissure	six samurai	2	427	429	33
Fissure	shockwave	2	429	429	38
Man-Eater Bug	yugi-kaiba	132	132	266	0
Man-Eater Bug	critter	44	176	266	1
Man-Eater Bug	treasure	30	206	266	2
Man-Eater Bug	imperial	51	257	266	3
Man-Eater Bug	android	5	262	266	4
Man-Eater Bug	joey-pegasus	4	266	266	5
Trap Hole	yugi-kaiba	132	132	473	0
Trap Hole	critter	87	219	473	1
Trap Hole	treasure	34	253	473	2
Trap Hole	imperial	41	294	473	3
Trap Hole	android	51	345	473	4
Trap Hole	joey-pegasus	4	349	473	5
Trap Hole	fiber	23	372	473	6
Trap Hole	yata	3	375	473	7
Trap Hole	warrior	1	376	473	11
Trap Hole	goat	1	377	473	12
Trap Hole	chaos return	1	378	473	15
Trap Hole	zombie	1	379	473	21
Trap Hole	cat	2	381	473	27
Trap Hole	lightsworn	45	426	473	28
Trap Hole	edison	2	428	473	29
Trap Hole	frog	11	439	473	30
Trap Hole	x-saber	10	449	473	31
Trap Hole	starstrike	14	463	473	32
Trap Hole	long beach	1	464	473	39
Trap Hole	miami	2	466	473	42
Trap Hole	ravine ruler	2	468	473	45
Trap Hole	fire-water	1	469	473	46
Trap Hole	vegas	4	473	473	47
Giant Soldier of Stone	yugi-kaiba	130	130	196	0
Giant Soldier of Stone	critter	52	182	196	1
Giant Soldier of Stone	treasure	6	188	196	2
Giant Soldier of Stone	imperial	7	195	196	3
Giant Soldier of Stone	android	1	196	196	4
Waboku	yugi-kaiba	130	130	563	0
Waboku	critter	85	215	563	1
Waboku	treasure	32	247	563	2
Waboku	imperial	10	257	563	3
Waboku	joey-pegasus	6	263	563	5
Waboku	fiber	1	264	563	6
Waboku	vampire	3	267	563	9
Waboku	chaos	18	285	563	10
Waboku	warrior	1	286	563	11
Waboku	cyber	10	296	563	13
Waboku	reaper	1	297	563	14
Waboku	chaos return	20	317	563	15
Waboku	stein	25	342	563	16
Waboku	chimeratech	16	358	563	17
Waboku	airblade	17	375	563	18
Waboku	zombie	20	395	563	21
Waboku	perfect circle	5	400	563	22
Waboku	dad return	24	424	563	24
Waboku	gladiator	7	431	563	25
Waboku	teledad	7	438	563	26
Waboku	cat	13	451	563	27
Waboku	lightsworn	23	474	563	28
Waboku	edison	3	477	563	29
Waboku	frog	5	482	563	30
Waboku	x-saber	3	485	563	31
Waboku	trishula	2	487	563	34
Waboku	baby ruler	2	489	563	44
Waboku	ravine ruler	13	502	563	45
Waboku	fire-water	3	505	563	46
Waboku	abc	53	558	563	57
Waboku	grass zoo	3	561	563	58
Waboku	link zoo	2	563	563	60
La Jinn the Mystical Genie of the Lamp	yugi-kaiba	129	129	212	0
La Jinn the Mystical Genie of the Lamp	critter	79	208	212	1
La Jinn the Mystical Genie of the Lamp	treasure	1	209	212	2
La Jinn the Mystical Genie of the Lamp	android	3	212	212	4
Reinforcements	yugi-kaiba	129	129	134	0
Reinforcements	critter	5	134	134	1
Neo the Magic Swordsman	yugi-kaiba	128	128	128	0
Battle Ox	yugi-kaiba	124	124	124	0
Summoned Skull	yugi-kaiba	117	117	126	0
Summoned Skull	critter	4	121	126	1
Summoned Skull	treasure	2	123	126	2
Summoned Skull	android	1	124	126	4
Summoned Skull	joey-pegasus	1	125	126	5
Summoned Skull	vampire	1	126	126	9
Soul Exchange	yugi-kaiba	105	105	336	0
Soul Exchange	critter	2	107	336	1
Soul Exchange	imperial	1	108	336	3
Soul Exchange	warrior	1	109	336	11
Soul Exchange	cyber	2	111	336	13
Soul Exchange	reaper	15	126	336	14
Soul Exchange	stein	11	137	336	16
Soul Exchange	chimeratech	3	140	336	17
Soul Exchange	airblade	3	143	336	18
Soul Exchange	trooper	1	144	336	20
Soul Exchange	zombie	23	167	336	21
Soul Exchange	perfect circle	28	195	336	22
Soul Exchange	phantom	1	196	336	23
Soul Exchange	dad return	2	198	336	24
Soul Exchange	gladiator	37	235	336	25
Soul Exchange	teledad	4	239	336	26
Soul Exchange	cat	7	246	336	27
Soul Exchange	lightsworn	3	249	336	28
Soul Exchange	edison	41	290	336	29
Soul Exchange	frog	21	311	336	30
Soul Exchange	starstrike	8	319	336	32
Soul Exchange	six samurai	3	322	336	33
Soul Exchange	trishula	3	325	336	34
Soul Exchange	dino rabbit	2	327	336	40
Soul Exchange	wind-up	5	332	336	41
Soul Exchange	meadowlands	4	336	336	43
Wall of Illusion	yugi-kaiba	92	92	116	0
Wall of Illusion	critter	20	112	116	1
Wall of Illusion	treasure	4	116	116	2
