Card	Format	Usage	Cumulative	Total	Format Index
Fissure	yugi-kaiba	132	132	344	0
Fissure	critter	85	217	344	1
Fissure	treasure	33	250	344	2
Fissure	imperial	34	284	344	3
Fissure	android	60	344	344	4
Man-Eater Bug	yugi-kaiba	132	132	262	0
Man-Eater Bug	critter	44	176	262	1
Man-Eater Bug	treasure	30	206	262	2
Man-Eater Bug	imperial	51	257	262	3
Man-Eater Bug	android	5	262	262	4
Trap Hole	yugi-kaiba	132	132	345	0
Trap Hole	critter	87	219	345	1
Trap Hole	treasure	34	253	345	2
Trap Hole	imperial	41	294	345	3
Trap Hole	android	51	345	345	4
Giant Soldier of Stone	yugi-kaiba	130	130	196	0
Giant Soldier of Stone	critter	52	182	196	1
Giant Soldier of Stone	treasure	6	188	196	2
Giant Soldier of Stone	imperial	7	195	196	3
Giant Soldier of Stone	android	1	196	196	4
Waboku	yugi-kaiba	130	130	257	0
Waboku	critter	85	215	257	1
Waboku	treasure	32	247	257	2
Waboku	imperial	10	257	257	3
La Jinn the Mystical Genie of the Lamp	yugi-kaiba	129	129	212	0
La Jinn the Mystical Genie of the Lamp	critter	79	208	212	1
La Jinn the Mystical Genie of the Lamp	treasure	1	209	212	2
La Jinn the Mystical Genie of the Lamp	android	3	212	212	4
Reinforcements	yugi-kaiba	129	129	134	0
Reinforcements	critter	5	134	134	1
Neo the Magic Swordsman	yugi-kaiba	128	128	128	0
Battle Ox	yugi-kaiba	124	124	124	0
Summoned Skull	yugi-kaiba	117	117	124	0
Summoned Skull	critter	4	121	124	1
Summoned Skull	treasure	2	123	124	2
Summoned Skull	android	1	124	124	4
Soul Exchange	yugi-kaiba	105	105	108	0
Soul Exchange	critter	2	107	108	1
Soul Exchange	imperial	1	108	108	3
Wall of Illusion	yugi-kaiba	92	92	116	0
Wall of Illusion	critter	20	112	116	1
Wall of Illusion	treasure	4	116	116	2
Swords of Revealing Light	yugi-kaiba	88	88	168	0
Swords of Revealing Light	critter	56	144	168	1
Swords of Revealing Light	treasure	5	149	168	2
Swords of Revealing Light	imperial	8	157	168	3
Swords of Revealing Light	android	11	168	168	4
Metal Dragon	yugi-kaiba	79	79	116	0
Metal Dragon	critter	2	81	116	1
Metal Dragon	treasure	1	82	116	2
Metal Dragon	imperial	28	110	116	3
Metal Dragon	android	6	116	116	4
Ultimate Offering	yugi-kaiba	75	75	78	0
Ultimate Offering	critter	3	78	78	1
Flower Wolf	yugi-kaiba	73	73	77	0
Flower Wolf	critter	2	75	77	1
Flower Wolf	treasure	1	76	77	2
Flower Wolf	android	1	77	77	4
Aqua Madoor	yugi-kaiba	68	68	75	0
Aqua Madoor	critter	7	75	75	1
Gaia the Dragon Champion	yugi-kaiba	64	64	123	0
Gaia the Dragon Champion	critter	29	93	123	1
Gaia the Dragon Champion	treasure	7	100	123	2
Gaia the Dragon Champion	imperial	3	103	123	3
Gaia the Dragon Champion	android	20	123	123	4
Card Destruction	yugi-kaiba	52	52	99	0
Card Destruction	critter	39	91	99	1
Card Destruction	treasure	3	94	99	2
Card Destruction	imperial	1	95	99	3
Card Destruction	android	4	99	99	4
Flame Swordsman	yugi-kaiba	52	52	104	0
Flame Swordsman	critter	4	56	104	1
Flame Swordsman	treasure	16	72	104	2
Flame Swordsman	imperial	15	87	104	3
Flame Swordsman	android	17	104	104	4
Judge Man	yugi-kaiba	51	51	51	0
Just Desserts	yugi-kaiba	48	48	54	0
Just Desserts	treasure	6	54	54	2
Trap Master	yugi-kaiba	48	48	55	0
Trap Master	critter	7	55	55	1
Fusionist	yugi-kaiba	45	45	57	0
Fusionist	critter	4	49	57	1
Fusionist	treasure	1	50	57	2
Fusionist	android	7	57	57	4
Change of Heart	yugi-kaiba	44	44	133	0
Change of Heart	critter	29	73	133	1
Change of Heart	treasure	14	87	133	2
Change of Heart	imperial	18	105	133	3
Change of Heart	android	28	133	133	4
Dark Hole	yugi-kaiba	44	44	133	0
Dark Hole	critter	29	73	133	1
Dark Hole	treasure	14	87	133	2
Dark Hole	imperial	18	105	133	3
Dark Hole	android	28	133	133	4
Monster Reborn	yugi-kaiba	44	44	132	0
Monster Reborn	critter	29	73	132	1
Monster Reborn	treasure	13	86	132	2
Monster Reborn	imperial	18	104	132	3
Monster Reborn	android	28	132	132	4
Ookazi	yugi-kaiba	44	44	44	0
Pot of Greed	yugi-kaiba	44	44	133	0
Pot of Greed	critter	29	73	133	1
Pot of Greed	treasure	14	87	133	2
Pot of Greed	imperial	18	105	133	3
Pot of Greed	android	28	133	133	4
Raigeki	yugi-kaiba	44	44	133	0
Raigeki	critter	29	73	133	1
Raigeki	treasure	14	87	133	2
Raigeki	imperial	18	105	133	3
Raigeki	android	28	133	133	4
Flame Ghost	yugi-kaiba	43	43	80	0
Flame Ghost	critter	5	48	80	1
Flame Ghost	treasure	16	64	80	2
Flame Ghost	imperial	15	79	80	3
Flame Ghost	android	1	80	80	4
Mystical Elf	yugi-kaiba	41	41	41	0
De-Spell	yugi-kaiba	34	34	39	0
De-Spell	critter	5	39	39	1
Spirit of the Harp	yugi-kaiba	33	33	33	0
Gyakutenno Megami	yugi-kaiba	32	32	32	0
Dragoness the Wicked Knight	yugi-kaiba	30	30	80	0
Dragoness the Wicked Knight	critter	7	37	80	1
Dragoness the Wicked Knight	treasure	16	53	80	2
Dragoness the Wicked Knight	imperial	8	61	80	3
Dragoness the Wicked Knight	android	19	80	80	4
The Wicked Worm Beast	yugi-kaiba	30	30	31	0
The Wicked Worm Beast	critter	1	31	31	1
Karbonala Warrior	yugi-kaiba	29	29	35	0
Karbonala Warrior	critter	4	33	35	1
Karbonala Warrior	treasure	1	34	35	2
Karbonala Warrior	android	1	35	35	4
Darkfire Dragon	yugi-kaiba	27	27	87	0
Darkfire Dragon	critter	4	31	87	1
Darkfire Dragon	treasure	16	47	87	2
Darkfire Dragon	imperial	23	70	87	3
Darkfire Dragon	android	17	87	87	4
Stop Defense	yugi-kaiba	26	26	27	0
Stop Defense	critter	1	27	27	1
Great White	yugi-kaiba	18	18	18	0
Remove Trap	yugi-kaiba	14	14	14	0
Final Flame	yugi-kaiba	13	13	13	0
Last Will	yugi-kaiba	12	12	73	0
Last Will	critter	49	61	73	1
Last Will	treasure	10	71	73	2
Last Will	imperial	2	73	73	3
Hane-Hane	yugi-kaiba	11	11	11	0
Charubin the Fire Knight	yugi-kaiba	9	9	67	0
Charubin the Fire Knight	critter	17	26	67	1
Charubin the Fire Knight	treasure	16	42	67	2
Charubin the Fire Knight	imperial	15	57	67	3
Charubin the Fire Knight	android	10	67	67	4
Dragon Capture Jar	yugi-kaiba	9	9	9	0
Reaper of the Cards	yugi-kaiba	4	4	4	0
Umi	yugi-kaiba	4	4	4	0
Ryu-Kishin Powered	yugi-kaiba	3	3	3	0
Armed Ninja	yugi-kaiba	2	2	2	0
Blue-Eyes White Dragon	yugi-kaiba	2	2	2	0
Curse of Dragon	yugi-kaiba	2	2	2	0
Dian Keto the Cure Master	yugi-kaiba	2	2	2	0
Dragon Zombie	yugi-kaiba	2	2	2	0
Lord of D.	yugi-kaiba	2	2	2	0
Reverse Trap	yugi-kaiba	2	2	2	0
The Flute of Summoning Dragon	yugi-kaiba	2	2	2	0
The Stern Mystic	yugi-kaiba	2	2	2	0
Castle Walls	yugi-kaiba	1	1	1	0
Petit Dragon	yugi-kaiba	1	1	1	0
Sparks	yugi-kaiba	1	1	1	0
Wasteland	yugi-kaiba	1	1	1	0
Yami	yugi-kaiba	1	1	1	0
Solemn Judgment	critter	76	76	171	1
Solemn Judgment	treasure	27	103	171	2
Solemn Judgment	imperial	32	135	171	3
Solemn Judgment	android	36	171	171	4
Magician of Faith	critter	75	75	186	1
Magician of Faith	treasure	29	104	186	2
Magician of Faith	imperial	52	156	186	3
Magician of Faith	android	30	186	186	4
Thunder Dragon	critter	66	66	69	1
Thunder Dragon	treasure	3	69	69	2
Heavy Storm	critter	58	58	168	1
Heavy Storm	treasure	24	82	168	2
Heavy Storm	imperial	30	112	168	3
Heavy Storm	android	56	168	168	4
Sangan	critter	58	58	150	1
Sangan	treasure	28	86	150	2
Sangan	imperial	36	122	150	3
Sangan	android	28	150	150	4
Twin-Headed Thunder Dragon	critter	58	58	98	1
Twin-Headed Thunder Dragon	treasure	9	67	98	2
Twin-Headed Thunder Dragon	imperial	18	85	98	3
Twin-Headed Thunder Dragon	android	13	98	98	4
Witch of the Black Forest	critter	58	58	132	1
Witch of the Black Forest	treasure	28	86	132	2
Witch of the Black Forest	imperial	18	104	132	3
Witch of the Black Forest	android	28	132	132	4
Masked Sorcerer	critter	55	55	79	1
Masked Sorcerer	treasure	7	62	79	2
Masked Sorcerer	imperial	4	66	79	3
Masked Sorcerer	android	13	79	79	4
Black Skull Dragon	critter	53	53	109	1
Black Skull Dragon	treasure	13	66	109	2
Black Skull Dragon	imperial	18	84	109	3
Black Skull Dragon	android	25	109	109	4
Muka Muka	critter	50	50	50	1
Robbin' Goblin	critter	44	44	50	1
Robbin' Goblin	treasure	6	50	50	2
Cannon Soldier	critter	35	35	82	1
Cannon Soldier	treasure	14	49	82	2
Cannon Soldier	imperial	17	66	82	3
Cannon Soldier	android	16	82	82	4
Seven Tools of the Bandit	critter	35	35	64	1
Seven Tools of the Bandit	treasure	22	57	64	2
Seven Tools of the Bandit	imperial	1	58	64	3
Seven Tools of the Bandit	android	6	64	64	4
Labyrinth Tank	critter	32	32	66	1
Labyrinth Tank	treasure	12	44	66	2
Labyrinth Tank	imperial	21	65	66	3
Labyrinth Tank	android	1	66	66	4
Bickuribox	critter	29	29	41	1
Bickuribox	treasure	8	37	41	2
Bickuribox	android	4	41	41	4
Mirror Force	critter	29	29	89	1
Mirror Force	treasure	14	43	89	2
Mirror Force	imperial	18	61	89	3
Mirror Force	android	28	89	89	4
Jirai Gumo	critter	25	25	44	1
Jirai Gumo	treasure	15	40	44	2
Jirai Gumo	android	4	44	44	4
7 Colored Fish	critter	23	23	23	1
Thousand Dragon	critter	20	20	39	1
Thousand Dragon	treasure	7	27	39	2
Thousand Dragon	imperial	8	35	39	3
Thousand Dragon	android	4	39	39	4
White Magical Hat	critter	20	20	24	1
White Magical Hat	treasure	1	21	24	2
White Magical Hat	imperial	1	22	24	3
