Card	Format	Usage	Cumulative	Total	Format Index
Fissure	tokyo dome	6	6	460	0
Fissure	yugi-kaiba	132	138	460	9
Fissure	critter	79	217	460	10
Fissure	treasure	39	256	460	12
Fissure	imperial	40	296	460	14
Fissure	android	58	354	460	15
Fissure	joey-pegasus	17	371	460	17
Fissure	fiber	21	392	460	18
Fissure	yata	13	405	460	20
Fissure	scientist	2	407	460	21
Fissure	chimeratech	4	411	460	37
Fissure	demise	2	413	460	39
Fissure	zombie	10	423	460	42
Fissure	perfect circle	2	425	460	43
Fissure	dad return	2	427	460	45
Fissure	gladiator	1	428	460	46
Fissure	cat	1	429	460	50
Fissure	lightsworn	4	433	460	52
Fissure	edison	1	434	460	54
Fissure	frog	25	459	460	55
Fissure	starstrike	1	460	460	57
Giant Soldier of Stone	tokyo dome	6	6	187	0
Giant Soldier of Stone	cannon	1	7	187	4
Giant Soldier of Stone	yugi-kaiba	128	135	187	9
Giant Soldier of Stone	critter	40	175	187	10
Giant Soldier of Stone	treasure	7	182	187	12
Giant Soldier of Stone	imperial	5	187	187	14
Harpie's Feather Duster	tokyo dome	6	6	281	0
Harpie's Feather Duster	cannon	1	7	281	4
Harpie's Feather Duster	ocg android	1	8	281	7
Harpie's Feather Duster	ocg yata	1	9	281	11
Harpie's Feather Duster	joey-pegasus	14	23	281	17
Harpie's Feather Duster	fiber	24	47	281	18
Harpie's Feather Duster	yata	33	80	281	20
Harpie's Feather Duster	scientist	8	88	281	21
Harpie's Feather Duster	vampire	18	106	281	23
Harpie's Feather Duster	chaos	45	151	281	25
Harpie's Feather Duster	tri-brigade	18	169	281	96
Harpie's Feather Duster	phoenix	7	176	281	98
Harpie's Feather Duster	elements	13	189	281	100
Harpie's Feather Duster	darkwing	9	198	281	101
Harpie's Feather Duster	tearlaments	25	223	281	102
Harpie's Feather Duster	kashtira	1	224	281	103
Harpie's Feather Duster	rescue-ace	15	239	281	104
Harpie's Feather Duster	fire king	6	245	281	105
Harpie's Feather Duster	snake-eye	15	260	281	106
Harpie's Feather Duster	fiendsmith	2	262	281	107
Harpie's Feather Duster	advanced	19	281	281	108
Kunai with Chain	tokyo dome	6	6	6	0
Magician of Faith	tokyo dome	6	6	630	0
Magician of Faith	cannon	3	9	630	4
Magician of Faith	ocg android	1	10	630	7
Magician of Faith	critter	72	82	630	10
Magician of Faith	treasure	34	116	630	12
Magician of Faith	imperial	45	161	630	14
Magician of Faith	android	30	191	630	15
Magician of Faith	joey-pegasus	39	230	630	17
Magician of Faith	fiber	27	257	630	18
Magician of Faith	yata	29	286	630	20
Magician of Faith	scientist	4	290	630	21
Magician of Faith	vampire	15	305	630	23
Magician of Faith	chaos	70	375	630	25
Magician of Faith	warrior	12	387	630	26
Magician of Faith	ocg goat	3	390	630	28
Magician of Faith	goat	74	464	630	29
Magician of Faith	cyber	32	496	630	31
Magician of Faith	reaper	1	497	630	32
Magician of Faith	chaos return	53	550	630	34
Magician of Faith	stein	36	586	630	36
Magician of Faith	chimeratech	20	606	630	37
Magician of Faith	zombie	20	626	630	42
Magician of Faith	perfect circle	3	629	630	43
Magician of Faith	link zoo	1	630	630	82
Man-Eater Bug	tokyo dome	6	6	279	0
Man-Eater Bug	yugi-kaiba	132	138	279	9
Man-Eater Bug	critter	49	187	279	10
