4-Starred Ladybug of Doom	Flip Effect Monster	WIND	Insect	3	800	1200
Bazoo the Soul-Eater	Effect Monster	EARTH	Beast	4	1600	900
Card Destruction	Spell Card	None	Normal	0	0	0
Jar of Greed	Trap Card	None	Normal	0	0	0
Kycoo the Ghost Destroyer	Effect Monster	DARK	Spellcaster	4	1800	700
Magic Cylinder	Trap Card	None	Normal	0	0	0
Magic Drain	Trap Card	None	Counter	0	0	0
Skull Lair	Trap Card	None	Continuous	0	0	0
Solemn Wishes	Trap Card	None	Continuous	0	0	0
Soul Exchange	Spell Card	None	Normal	0	0	0
Torrential Tribute	Trap Card	None	Normal	0	0	0
